index,comic_book_store_name,address,city,state,latitude,longitude
0,Albertville Candy Shop,118 E. Main St.,Albertville,AL,34.26736883,-86.20768565
1,All American Sports Cards and Comics,106 S. Water St.,Tuscumbia,AL,34.73233117,-87.7050928
2,All Star Comics & Cards,58 N. Main St.,Arab,AL,34.31746684,-86.49568801
3,Big Hit Sports Cards,6450 Hwy. 90 #L.,Spanish Fort,AL,30.72134005,-87.86599855
4,Bob's Comics,979 Gadsden Hwy.,Birmingham,AL,33.58621146,-86.66134045
5,Book Basket,700 Main St.,Gardendale,AL,33.64076379,-86.81006605
6,Capitol City Comic Shop,7933 Vaughn Rd.,Montgomery,AL,32.3409771,-86.1767674
7,Cards,2820 Citizens Pkwy.,Selma,AL,32.44225112,-87.01908168
8,Champs Sports Cards,805 Regal Dr. S.W. #4,Huntsville,AL,34.7842707,-86.5389964
9,Collector's Corner,150 N. Dean Rd.,Auburn,AL,32.60823916,-85.46479443
10,Collector's Paradise Comic Books,530 Broad St.,Gadsden,AL,34.01376483,-86.00524395
11,Comics and Cards Trading Post,7968 Vaughn Rd.,Montgomery,AL,32.337391,-86.1763647
12,Empire Comics,414 B Glover Ave.,Enterprise,AL,31.31804178,-85.85029552
13,Excelsior!,3150 Lorna Rd. #108,Hoover,AL,33.39879974,-86.80311766
14,"Haven: Comics, Etc.",1871-S Slaughter Rd.,Madison,AL,34.7105329,-86.7622802
15,"Hit Videos and Collectibles, LLC",4003 Holmes Ave.,Huntsville,AL,34.727249,-86.6283984
16,JC's Guns & Tackle,1650 Jordan Ln.,Huntsville,AL,34.7444201,-86.6300194
17,"Kingdom Comics, Inc.",1425 Montgomery Hwy. #119,Vestavia Hills,AL,33.41873849,-86.80134216
18,Legion,1564 Montgomery Hwy. #C,Birmingham,AL,33.5274441,-86.799047
19,Legion Comics,3248 Cahaba Heights Rd.,Birmingham,AL,33.45419749,-86.72969349
20,Mayhan's Racin Collectibles,3301 Ashley Rd.,Montgomery,AL,32.3454172,-86.3740968
21,Quality Comix LLC,7968 Vaughn Rd.,Montgomery,AL,32.337391,-86.1763647
22,Quality Comix LLC,153 West Main Street,Prattville,AL,32.45972427,-86.47446481
23,Sho'Nuff Comics,618 15th St.,Tuscaloosa,AL,33.1996624,-87.5454415
24,The Comic Shop,1815 6th Ave. S.E. #D,Decatur,AL,34.5730388,-86.991684
25,The Comic Strip,503 Hargrove Rd. E.,Tuscaloosa,AL,33.1872717,-87.5294242
26,The DeeP Comics & Games,2312 Memorial Pkwy S.W. #A,Huntsville,AL,34.7151141,-86.5921363
27,The Keep Comics,230 W. Laurel St.,Scottsboro,AL,34.673015,-86.03603744
28,The Wizard,2221 2nd Ave. N.W.,Cullman,AL,34.18132968,-86.84079198
29,A No 1 Cards Comics & Collectibles,Northway Mall,Anchorage,AK,61.14833502,-149.1947208
30,Bosco's Comics Cards & Games,800 E. Dimond Blvd.,Anchorage,AK,61.1436859,-149.8676714
31,Bosco's Comics Cards & Games,2606 Spenard Rd.,Anchorage,AK,61.1971544,-149.9056129
32,Collector's Hideaway,609 W. Willoughby St.,Juneau,AK,58.30062988,-134.4177051
33,The Comic Shop,418 3rd St. #2,Fairbanks,AK,64.8467643,-147.6973814
34,All About Books & Comics,5060 N. Central,Phoenix,AZ,33.51075238,-112.0741486
35,Amazing Discoveries,2928 E. Broadway,Tucson,AZ,32.2210917,-110.9283107
36,Ash Avenue Comics & Books,810 S. Ash Ave.,Tempe,AZ,33.42178727,-111.9424748
37,Beyond Gaming,18635 N. 35th Ave.,Phoenix,AZ,33.6559878,-112.1337722
38,Bookmans Entertainment Exchange,6230 E. Speedway Rd.,Tucson,AZ,32.2352203,-110.8593881
39,Bookmans Entertainment Exchange,1930 E. Grant Rd.,Tucson,AZ,32.2498692,-110.9429952
40,Bookmans Entertainment Exchange,3733 W. Ina Rd.,Tucson,AZ,32.3359509,-111.0441146
41,Bookmans Entertainment Exchange,8034 N. 19th Ave.,Phoenix,AZ,33.55367776,-112.0997637
42,Bookmans Entertainment Exchange,1056 S. Country Club Dr.,Mesa,AZ,33.395829,-111.8414483
43,Bookmans Entertainment Exchange,1520 Riordan Ranch St.,Flagstaff,AZ,35.1859616,-111.6593716
44,Charlie's Comic Books,5445 E. 22nd St. #115,Tucson,AZ,32.207804,-110.875865
45,Cleary's Seventh Inning Stretch,116 N. 7th St.,Sierra Vista,AZ,31.55677971,-110.2914284
46,Comic Zone,5909 N. Granite Reef Rd.,Scottsdale,AZ,33.522516,-111.8997036
47,Comics Legends and Heroes,13560 W. Van Buren B-102,Goodyear,AZ,33.26207833,-112.3624804
48,Drawn To Comics,5757 W. Glendale Ave.,Glendale,AZ,33.5384262,-112.1835565
49,Fan-Quest,2241 S. Ave. A #30,Yuma,AZ,32.59961134,-114.5485578
50,Fantasy Comics,2595 N. 1st Ave.,Tucson,AZ,32.2538679,-110.9613807
51,Game Depot Arizona,3136 S. McClintock Dr. #11,Tempe,AZ,33.3945161,-111.9115008
52,Gamemaster Games,1120 S Gilbert Rd. #114,Gilbert,AZ,33.33056227,-111.790435
53,Gamer's Edge,2144 N. Arizona Ave. #B-24,Chandler,AZ,33.33609877,-111.8418004
54,Gamers Entertainment LLC,520 W. Sheldon St. #5,Prescott,AZ,34.5456194,-112.474997
55,Greg's Comics,2722 S. Alma School Rd. #8,Mesa,AZ,33.365799,-111.8594582
56,Hastings,1540 S. Riordan Rd.,Flagstaff,AZ,35.18643535,-111.6175217
57,Hastings Book and Video,3758 E. Fry Blvd.,Sierra Vista,AZ,31.55453862,-110.2597558
58,Hero Comics,3519 W. Thunderbird Rd.,Phoenix,AZ,33.612842,-112.0059171
59,Heroes & Villains,4533 E. Broadway Blvd.,Tucson,AZ,32.2220244,-110.8958936
60,Jesse James Comics and Collectables,10802 N. 43rd Ave. #1,Glendale,AZ,33.56725245,-112.2827261
61,Key Comics,1318 N. Emerson,Mesa,AZ,33.4386334,-111.8541771
62,Menagerie,507 Hickory Ave.,Mena,AZ,40.76950395,-86.04502307
63,Neo City Anime,621A Miller Valley Rd.,Prescott,AZ,34.55265429,-112.4801462
64,Pop Culture Paradise,707 S. Forest Ave. #A,Tempe,AZ,33.42317168,-111.9365556
65,Pyramid Comics & Games,108 W. Fry Blvd.,Sierra Vista,AZ,31.55450697,-110.3005117
66,R-Galaxy,2420 N. Campbell Ave.,Tucson,AZ,32.2507444,-110.9434697
67,Red-Tail Books,204 N. Florence St.,Casa Grande,AZ,32.8765102,-111.7542681
68,Samurai Comics,10720 W. Indian School Rd. #61,Phoenix,AZ,33.5721625,-112.0879662
69,Samurai Comics,1051 E. Camelback Rd.,Phoenix,AZ,33.5089505,-112.0586551
70,Samurai Comics East,1120 S. Country Club Dr. #107,Mesa,AZ,33.3949557,-111.841447
71,Scottsdale Baseball Cards,6943 East 1st Ave.,Scottsdale,AZ,33.493667,-111.9311752
72,SpazDog Comics,21610 N. 35th Ave. #162,Glendale,AZ,33.6825648,-112.1358485
73,Stalking Moon Comics & Collectibles,7680 E. S.R. 69 #F-3,Prescott Valley,AZ,34.61158692,-112.2877367
74,The Moose Cave,1191 E. Deuce of Clubs,Show Low,AZ,34.25410448,-110.0291632
75,Alternate Worlds Cards & Comic,3812 Central Ave.,Hot Springs,AR,34.46038698,-93.06184055
76,Arkham Comics,514 W. Main St.,Blytheville,AR,35.9277184,-89.9087153
77,Collector's Edition Comics,3217 J.F.K. Blvd.,North Little Rock,AR,34.77939071,-92.23086831
78,Comic Book Store,9307 Treasure Hill Rd.,Little Rock,AR,34.7607564,-92.379031
79,Conway Comics Plus,Hwy. 286 W.,Conway,AR,35.0756477,-92.4694189
80,Double Header Video Games & Hobbies,5316 Dollarway Rd.,Pine Bluff,AR,34.24244183,-92.05691366
81,Galaxy Comics and Games,2322 East Matthews Ave.,Jonesboro,AR,35.8347505,-90.6758933
82,Gallery of Champions and Cards,1404 N. College Ave.,Fayetteville,AR,36.0808664,-94.1549247
83,HawgHead Comics,1600 S. Greenwood Ave.,Fort Smith,AR,35.3682845,-94.40390615
84,Kapow! Comics,4047 E. Kiehl,Sherwood,AR,34.8326171,-92.1873535
85,Rock Bottom Books,1206 N. Garland Ave.,Fayetteville,AR,36.0787328,-94.1738224
86,Shannon's Cards & Comics,1722 N. Falls Blvd.,Wynne,AR,35.2396197,-90.7828201
87,Springdale Card & Comic Wholesale,888 E. Robinson Ave.,Springdale,AR,36.16713274,-94.12468119
88,The Bat Cave,1155 Front St. #5,Conway,AR,35.0950796,-92.4432939
89,Time Machine Collectibles,305 Towson Ave.,Fort Smith,AR,35.38117909,-94.42099947
90,Vintage Stock,4505 W. Walnut St.,Rogers,AR,36.3356756,-94.180053
91,Vintage Stock,745 E. Joyce Blvd. #120,Fayetteville,AR,36.1231518,-94.1474828
92,105 Cards & Comics,13515 Paramount Blvd. #A,South Gate,CA,33.9131125,-118.1596267
93,2nd Dimension Comics & Games,332 Pollasky Ave.,Clovis,CA,36.82587574,-119.7024249
94,4 Color Fantasies,7172 Archibald Ave.,Rancho Cucamonga,CA,34.1239532,-117.5945577
95,A Collector's Dream,21222 Ventura Blvd.,Los Angeles (Woodland Hills),CA,37.15999125,-121.9229363
96,A-1 Comics Roseville,818 Sunrise Ave.,Roseville,CA,38.7322603,-121.2726806
97,"A-1 Comics, Inc.",5361 Auburn Blvd.,Sacramento,CA,38.6675624,-121.3395751
98,Adventure Comics and Toys,125 Ocean View Blvd. #304,Pacific Grove,CA,36.6188412,-121.9045432
99,Adventures in Comics and Games,6026 Fair Oaks Blvd.,Carmichael,CA,38.61035551,-121.3287147
100,Al's Comic Shop,1847 Pacific Ave.,Stockton,CA,37.9695277,-121.2992087
101,Alakazam! Comics,4237 Campus Dr. #B162,Irvine,CA,33.6501406,-117.8385944
102,Alameda Sports Cards & Comics,1515 Webster St.,Alameda,CA,37.7737984,-122.276935
103,Amazing Al's Comix,600 F St. #E,Chula Vista,CA,32.63776649,-117.0921618
104,Amazing Comics & Cards,5555 Stearns St. #103,Long Beach,CA,33.7963191,-118.1228948
105,Amazing Fantasy,650 Irving St.,San Francisco,CA,37.76419704,-122.4647233
106,Anime 101 and Manga Too!,313 Vineyard Town Center,Morgan Hill,CA,37.1122981,-121.6432106
107,Another World Comics,1615 Colorado Blvd.,Los Angeles (Eagle Rock),CA,37.15999125,-121.9229363
108,Anubis Warpus,1525 Haight St.,San Francisco,CA,37.76967349,-122.4474045
109,Artifex Entertainment,9839 Mira Mesa Blvd.,San Diego,CA,32.9163679,-117.1138148
110,Astounding Fantasy Art Books and Comics,2319-A W. Olive Ave.,Burbank,CA,34.16270783,-118.3279943
111,Atlantis Fantasyworld,1020 Cedar St.,Santa Cruz,CA,36.9756371,-122.0274625
112,BaT Comics,127 Main St.,Chico,CA,39.7309511,-121.840392
113,Big Steve's Comic Kitchen,606 Mission Ave.,Oceanside,CA,33.19645283,-117.3787653
114,Bizarro World,706 5th St.,Davis,CA,38.54722686,-121.7409889
115,Black Cat Comics,73 N. Milpitas Blvd.,Milpitas,CA,37.43352651,-121.9001824
116,Blue Moon Comics,1555 S. Novato Blvd. # A,Novato,CA,38.0990668,-122.5713133
117,Bonanza Books & Comics,2308 McHenry Ave.,Modesto,CA,37.6758683,-120.9936913
118,Books & More,270 S. Main St.,Altaville,CA,0.0,0.0
119,Brave New World,22722 Lyons Ave. #6,Santa Clarita (Newhall),CA,17.95300332,-66.38669384
120,Broadway Comics & Cards,1508 Broadway,Sacramento,CA,38.5616287,-121.4935619
